,File name,Start,End,
event 1,complete_min_2012.csv,19/04/2012 03:00,19/04/2012 16:00,
event 2,complete_min_2012.csv,25/04/2012 11:00,26/04/2012 02:00,
event 3,complete_min_2012.csv,09/05/2012 17:00,10/05/2012 07:00,
event 4,complete_min_2012.csv,03/06/2012 00:30,03/06/2012 21:00,
event 5,complete_min_2012.csv,14/06/2012 22:00,15/06/2012 07:00,
event 6,complete_min_2012.csv,15/06/2012 13:30,15/06/2012 16:30,######
event 7,complete_min_2012.csv,22/06/2012 03:30,23/06/2012 01:00,
event 8,complete_min_2012.csv,06/07/2012 08:00,06/07/2012 18:00,
event 9,complete_min_2012.csv,05/08/2012 13:15,05/08/2012 17:30,######
event 10,complete_min_2012.csv,15/08/2012 14:00,15/08/2012 18:00,
event 11,complete_min_2012.csv,25/08/2012 12:00,25/08/2012 14:00,######
event 12,complete_min_2012.csv,24/09/2012 07:00,24/09/2012 21:00,
event 13,complete_min_2012.csv,25/09/2012 04:00,26/09/2012 02:00,
event 14,complete_min_2012.csv,03/10/2012 16:15,03/10/2012 20:30,
event 15,complete_min_2012.csv,11/10/2012 18:00,12/10/2012 03:00,
event 16,complete_min_2012.csv,15/10/2012 23:00,16/10/2012 03:00,
All,complete_min_2012.csv,07/04/2012 00:00,24/08/2012 16:00,
